step,true_x,true_y,true_yaw,dr_x,dr_y,dr_yaw,est_x,est_y,est_yaw
0,0.0,0.0,0.0,0.007202178558043899,0.0,0.026381860921028455,0.004041535587249862,0.0,0.029586475635616782
1,0.0,0.0,0.0,-0.01596955404218815,-0.0006114552914958937,0.03578529792573004,0.013676379377769811,0.050088949432592,0.04935429172469785
2,0.0,0.0,0.0,-0.06449369627150908,-0.002348647783435364,0.04227989468645532,-0.057659874098570554,0.04880246563120514,0.05760408553080287
3,0.0,0.0,0.0,-0.013092897649233957,-0.0001741315623282843,0.042018248398119074,-0.003087332150529021,0.01340227498966837,0.045809510322770475
4,0.0,0.0,0.0,-0.039832783420561596,-0.0012983564214627888,0.04346165293159299,-0.018941763028540035,0.05529328799938519,0.05500427397478225
5,0.0,0.0,0.0,-0.09135820452880297,-0.0035391474566637627,0.019503597192794153,-0.02789652700735823,0.07592680603637536,0.03633546944277377
6,0.0,0.0,0.0,-0.04302899740847841,-0.0025964345323586614,0.029371055035399607,-0.0038145560860441846,0.10413113035147219,0.0479433311838422
7,0.0,0.0,0.0,-0.15088588702733285,-0.005765216418313037,0.053384111656607836,-0.13566278117166258,0.0794037544200355,0.06098150660882817
8,0.0,0.0,0.0,-0.14898270215077616,-0.005663519958995326,0.04428008401507766,-0.13870431211187118,0.08241410320669035,0.037325622721664065
9,0.0,0.0,0.0,-0.1260259812283469,-0.004646329530403183,0.05016801576882468,-0.08062868958807097,0.07116772416250958,0.05482602864971353
10,0.0,0.0,0.0,-0.1652109890376209,-0.006613814505376176,0.045311028632336825,-0.13948045895503966,0.08309532294443535,0.043685564731313686
11,0.0,0.0,0.0,-0.24224624873735626,-0.010106752128217818,0.06135835086463848,-0.19670169268127408,0.0966944456967453,0.05803335709054647
12,0.0,0.0,0.0,-0.21040507979976372,-0.008150574993545235,0.06829289964204044,-0.12181566883767567,0.08903708955695089,0.04911422403590793
13,0.0,0.0,0.0,-0.20028467390984303,-0.0074583466290721375,0.0910518346192628,-0.11240795890706799,0.08614401303298169,0.06349883844316162
14,0.0,0.0,0.0,-0.22465741434352252,-0.009683682430288023,0.1053781471849482,-0.11179598085575147,0.07774020702738563,0.05398571279651243
