step,true_x,true_y,true_theta,est_x,est_y,est_theta
0,7.495645478663275,2.258965705652416,1.5876097924530732,7.526081609075797,2.3587575556995057,0.5556954351312191
1,7.486161217394509,2.5014642806965064,1.6098869889644882,7.660282500309927,2.4419174856186765,0.8579267347099568
2,7.4722577569278545,2.7460914518340322,1.6275705550599358,7.6816608596256115,2.68165427255145,1.3894101940023962
3,7.452980588872474,3.0004699292984514,1.6464332008971587,7.532943450033576,2.9354911461392317,1.8804393961947157
4,7.428283811812168,3.253726202838621,1.6680059053317562,7.266039178268035,3.0882505595263217,2.2004253891894945
5,7.399452011301041,3.4998309671977688,1.6874172847554199,7.297702590870687,3.37798911831173,1.9801279748962795
6,7.364761002032945,3.7529732467426435,1.706989513986249,7.299925452016282,3.717353692489204,1.8593255287148722
7,7.326506341393505,3.993173789158994,1.7287312853573369,7.314872402047929,4.017825296681612,1.7683348165882884
8,7.281714531345397,4.240699270758097,1.749817412221088,7.298214420887757,4.24682124234582,1.7419436847909726
9,7.232579212391428,4.486711507978434,1.7679295012790701,7.2258196383870805,4.513052330985304,1.7939521430344478
10,7.176175460921428,4.740758958358564,1.7892730707337046,7.089168594802132,4.698174506399819,1.9207090743388524
11,7.117690394688209,4.980775330703653,1.8098096155921355,7.027850756124182,4.94192784470818,1.9067316158382828
12,7.053310395733186,5.223678213062347,1.829883352029541,6.989684190994059,5.185354508133783,1.8604765009555586
13,6.98410192877712,5.464549339543557,1.8505851563416176,6.9378206158758875,5.442218072658185,1.847954375209683
14,6.914940895764569,5.689040469206733,1.869648591802433,6.879282025528896,5.621711810215876,1.8598706775084946
15,6.8372393473379995,5.926551785323913,1.8869705369507423,6.75960015129761,5.916502478076663,1.9171953043326253
16,6.753442150242684,6.165222755919721,1.9084500913800417,6.69565451246622,6.129282598732619,1.9014081819450157
17,6.664539003645038,6.402322342167191,1.9295329846999825,6.577310060254957,6.355405931740258,1.9669854785634544
18,6.571065728949788,6.637125720723949,1.9496565306566729,6.563273308334512,6.574957007734993,1.8861009975012273
19,6.473519535857541,6.8703919853614845,1.966872230945049,6.516073770068778,6.824954603887029,1.859626421266569
20,6.374084427057376,7.095090366605546,1.9874183832288876,6.383469571253879,7.06667196069132,1.936168151335428
21,6.268812003026494,7.320215102621704,2.0082045709766407,6.286799809439447,7.309275953580808,1.9445455758838113
22,6.156089082448688,7.548430826308711,2.0295773111680204,6.187269838545229,7.554924876973136,1.9595076376061096
23,6.040613426389956,7.770120524167174,2.0510148990131647,6.034309142805605,7.736657670890492,2.0701732909237633
24,5.921703802341359,7.987837541710636,2.070691172681817,5.835916178141409,7.947714649594394,2.1626268274042184
25,5.797325237728879,8.20240501581252,2.096133979321158,5.701141715547134,8.164187501100493,2.170699867076771
26,5.665326703728542,8.419321517383123,2.1174586893292604,5.581038045069547,8.380469095395917,2.157846357341936
27,5.532678969211517,8.627801443831524,2.1374527885666206,5.501818010913561,8.62495164126333,2.0874188591780105
28,5.395073333808347,8.834361193674583,2.1584607957235358,5.407625179101914,8.759534312045034,2.09386636374112
29,5.2514031460080535,9.040404367347335,2.179695772357341,5.240169484848182,9.115757952579942,2.091780513597178
