run_id,seed,variant,host,date,code,range_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
6e0b155a5c4f,0,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0518333,0.6,0,0.406611,0.00122037,0.429403,0.0018314,2.86189,0.0953965,10.8136,8.79059,0.0630334,0.0654405,0.0333913,0.0798667,2.66222
fc331422bbdd,1,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0711283,0.533333,0,0.368125,0.0011599,0.457672,0.0017718,40.8784,1.36261,80.3579,23.5356,0.0831716,0.083462,0.0373615,0.0767729,2.5591
10640683839f,2,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.056931,0.633333,0,0.421895,0.00102387,0.420335,0.0029143,-302.565,-10.0855,2270.77,991.285,0.164046,0.098799,0.246959,0.0803325,2.67775
21c3b80f8816,3,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0362688,0.766667,0,0.442457,0.000971892,0.340504,0.02753,7.98609,0.266203,13.9053,10.201,0.0592015,0.0382394,0.0247169,0.0843757,2.81252
d635f031fb5e,4,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0430678,0.6,0,0.40025,0.00116232,0.406339,0.00398755,-30.7319,-1.0244,21.6776,17.0723,0.0609147,0.0501858,0.0667696,0.0756774,2.52258
b99180567aa2,5,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0542932,0.633333,0,0.434368,0.00169064,0.399007,0.000506697,-2051.97,-68.399,184569,42326.2,0.586681,0.174127,0.985584,0.0762195,2.54065
76641acaf481,6,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0481093,0.633333,0,0.373184,0.00106294,0.392227,0.00248853,-789.693,-26.3231,30184.4,9295.41,0.361884,0.123044,0.588446,0.0747627,2.49209
5ec9a4d9d190,7,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0490368,0.6,0,0.393361,0.00116865,0.409424,0.0255791,12.7336,0.424452,183.322,86.0143,0.0966153,0.0523863,0.148223,0.0759892,2.53297
c3f91586ad44,8,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0525889,0.633333,0,0.428947,0.00126001,0.372124,0.00207124,-1361.57,-45.3858,102412,9028.93,0.499145,0.182142,0.869752,0.0434779,1.44926
2f69df0727f4,9,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.046873,0.533333,0,0.377844,0.00132957,0.410524,0.00111722,-536.926,-17.8975,12882,6842.35,0.282105,0.11868,0.412037,0.0401767,1.33922
c6b3c70e5587,10,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0435798,0.566667,0,0.456529,0.00135995,0.428859,0.0381381,49.8984,1.66328,11.2408,10.8066,0.0632509,0.0617547,0.0352419,0.0411375,1.37125
e239561b1303,11,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0467047,0.466667,0,0.406536,0.00162489,0.467299,0.00490198,8.75506,0.291835,71.8339,63.9211,0.0786306,0.0500906,0.0803608,0.0377292,1.25764
f7244d347786,12,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0385976,0.633333,0,0.458132,0.00109637,0.422822,0.0453749,-77.4326,-2.58109,223.836,119.878,0.0963025,0.0404123,0.079725,0.0788618,2.62873
5efab986da29,13,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0666036,0.6,0,0.411111,0.000865492,0.466417,0.00327738,26.1257,0.870858,44.3641,43.8028,0.0979698,0.0591619,0.0392917,0.0777811,2.5927
ec1aaca430b8,14,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0432197,0.666667,0,0.388075,0.000872846,0.376214,0.00265576,-157.459,-5.24864,135.39,72.0078,0.115843,0.0746111,0.0944335,0.0776955,2.58985
c25f3ae10234,15,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0427043,0.5,0,0.449267,0.00133535,0.481526,0.0411203,118.591,3.95303,12.5865,9.45425,0.0609448,0.0327522,0.0145162,0.072627,2.4209
