variant,seeds,position_rmse_mean,position_rmse_std,ate_mean,ate_std,map_error_aligned_mean,map_error_aligned_std,ess_mean_mean,ess_mean_std,runtime_per_step_ms_mean,runtime_per_step_ms_std
"proposal: FastSLAM 1.0, n_particles: 5",20,1.11923,0.56208,0.335209,0.052117,0.16045,0.0466257,0.764051,0.00612828,1.27911,0.00757432
"proposal: FastSLAM 1.0, n_particles: 10",20,0.958044,0.611337,0.254561,0.0328576,0.111115,0.03437,0.75283,0.00432551,1.39222,0.00641724
"proposal: FastSLAM 1.0, n_particles: 25",20,0.673259,0.398074,0.211951,0.0496841,0.0946158,0.0253465,0.749634,0.00225287,1.85603,0.0127655
"proposal: FastSLAM 1.0, n_particles: 100",20,0.777235,0.345277,0.247152,0.0935182,0.0564702,0.0160221,0.748004,0.00217765,3.19456,0.0178032
"proposal: FastSLAM 2.0, n_particles: 5",20,0.772871,0.427472,0.257223,0.0367919,0.101978,0.0292345,0.812655,0.00415308,1.9845,0.0132491
"proposal: FastSLAM 2.0, n_particles: 10",20,0.773708,0.474499,0.214561,0.0463433,0.0909256,0.0255084,0.801517,0.00375579,2.14831,0.0118608
"proposal: FastSLAM 2.0, n_particles: 25",20,0.747796,0.469187,0.274743,0.0894196,0.0779662,0.0151167,0.795337,0.00246687,2.66322,0.0283295
"proposal: FastSLAM 2.0, n_particles: 100",20,0.7375,0.331938,0.227537,0.0667709,0.0478578,0.0116088,0.793325,0.00242149,4.79023,0.272413
