run_id,seed,variant,host,date,code,turn_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
f755df5a07f0,19,0.0008,labdesktop,2026-09-20T09:56:24+00:00,1073b69d29e5,0.0008,0.0366101,0.14,0,0.519857,0.00253019,0.723025,0.0774684,2710.3,6.77574,7.58865,4.77277,0.0373044,0.0161314,0.0372453,0.218541,0.546351
a951690ea0c3,0,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0296447,0.135,0,0.531648,0.00280018,0.685368,0.159721,2842.72,7.10679,2.56057,1.95545,0.0304148,0.0128249,0.0266551,0.222703,0.556757
2fb4b21ad432,1,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0326758,0.1525,0,0.530918,0.00288438,0.684244,0.0414248,2769.28,6.92319,3.21196,2.63873,0.033244,0.0140212,0.0264366,0.22514,0.562849
36f08837aa94,2,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0438674,0.1525,0,0.511295,0.00274959,0.694418,0.0031802,2706.5,6.76625,6.56703,3.9555,0.0438818,0.0154758,0.00706762,0.250793,0.626981
b4cd3636ab51,3,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0382786,0.14,0,0.528714,0.00268103,0.696675,0.0344289,2791.53,6.97881,6.77356,4.68301,0.0394865,0.0114486,0.0212372,0.222514,0.556286
36b210e1959f,4,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0395825,0.1625,0,0.536077,0.0025764,0.696733,0.146621,2836.06,7.09015,5.80903,4.86261,0.0404783,0.0145666,0.0514211,0.230065,0.575163
ffdf4bf5f6ae,5,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0351981,0.14,0,0.519768,0.00267993,0.704228,0.0685631,2724.17,6.81042,3.54102,2.84921,0.0360685,0.0165052,0.0295422,0.221276,0.553191
a591aa059a33,6,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0289965,0.135,0,0.529926,0.00265631,0.698104,0.167952,2886.91,7.21729,2.64116,1.76707,0.029704,0.012673,0.0600569,0.220889,0.552224
7527bc355768,7,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0377745,0.15,0,0.54515,0.00270602,0.701387,0.163421,2823.2,7.058,4.25047,2.86604,0.0387275,0.0157708,0.0402715,0.221421,0.553553
5d5e12f79335,8,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0663302,0.155,0,0.506774,0.00272829,0.693788,0.00183921,2637.04,6.59259,330.604,6.13385,0.0694965,0.0280307,0.037118,0.226118,0.565296
cacca42d904b,9,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0353421,0.1325,0,0.514736,0.00287454,0.679104,0.163591,2772.25,6.93063,3.45024,2.69302,0.0356954,0.0149496,0.0267951,0.220866,0.552165
3e1f02d5bbf3,10,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0332613,0.1275,0,0.527569,0.00281137,0.699273,0.186561,2822.41,7.05601,4.06658,3.08977,0.0355749,0.00962007,0.0653474,0.21295,0.532375
5695b53b9a86,11,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0393126,0.1425,0,0.499368,0.00277964,0.690701,0.00577483,2759.97,6.89992,5.38552,3.78002,0.0396188,0.012484,0.0725958,0.218,0.545
2cc81bbece57,12,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0358051,0.145,0,0.53831,0.00276933,0.687154,0.166392,2824.21,7.06054,4.7208,3.72534,0.0386742,0.0149271,0.0213614,0.254097,0.635242
effa29d8d739,13,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0360645,0.1325,0,0.524151,0.00252033,0.710132,0.0513389,2802.68,7.00671,4.33364,3.48063,0.0383329,0.0148703,0.0267285,0.22306,0.557651
c10abf22d307,14,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0347468,0.1525,0,0.518787,0.0026451,0.697815,0.121261,2722.23,6.80559,3.72661,2.87007,0.0362904,0.011952,0.0548982,0.219659,0.549147
7716cc70fd69,15,0.00142,labdesktop,2026-09-20T09:56:25+00:00,1073b69d29e5,0.00142,0.0379411,0.1625,0,0.531169,0.00264806,0.701212,0.0602856,2757.72,6.8943,5.01949,4.12445,0.0403138,0.0115378,0.00665944,0.224779,0.561949
4076610a273e,16,0.00142,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00142,0.0360101,0.16,0,0.517625,0.00283787,0.677745,0.00155898,2698.4,6.74599,42.4776,4.37522,0.0396117,0.0152087,0.0292706,0.254461,0.636152
c0dc1edf7170,17,0.00142,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00142,0.0340269,0.135,0,0.509926,0.00277742,0.692665,0.00920826,2756.62,6.89154,3.78029,2.55814,0.034709,0.0136216,0.0123747,0.225306,0.563265
d9d403217cb7,18,0.00142,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00142,0.0398612,0.135,0,0.520037,0.00270584,0.70593,0.0516993,2780.51,6.95128,4.46928,3.12627,0.0421211,0.0152155,0.0591809,0.214682,0.536705
7dc251d2821b,19,0.00142,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00142,0.0357098,0.14,0,0.515571,0.00267489,0.696513,0.0613912,2717.78,6.79444,3.99393,2.94606,0.0359853,0.0162395,0.0072433,0.249994,0.624986
147d54ce2b86,0,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0288384,0.145,0,0.526603,0.00275157,0.673189,0.137525,2842.76,7.10691,1.71182,1.38134,0.029453,0.012343,0.0253267,0.224154,0.560386
c55026b9a56e,1,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0320412,0.1675,0,0.530716,0.00269159,0.68023,0.0363089,2765.74,6.91435,2.05792,1.60464,0.0328735,0.0135146,0.0251321,0.229116,0.572791
a5463b95fc9a,2,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0389698,0.1525,0,0.517754,0.00258463,0.688732,0.0624687,2726.85,6.81712,3.11893,2.42637,0.0390976,0.0158116,0.0049391,0.217784,0.54446
9ffb694e5109,3,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0340392,0.16,0,0.531469,0.0027678,0.684155,0.179447,2794.48,6.98619,3.05073,2.31543,0.0350755,0.0107758,0.0365621,0.223436,0.55859
f9c43cdd44f8,4,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0395565,0.17,0,0.531147,0.00257055,0.681637,0.22251,2838.96,7.09741,3.82243,3.14172,0.0411723,0.0145914,0.0695343,0.227648,0.569121
0d87556d71d9,5,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0362909,0.1575,0,0.526413,0.00266796,0.689944,0.0613555,2725.47,6.81366,2.63386,2.01204,0.0369101,0.0166235,0.020696,0.243707,0.609268
cc526ebe3edc,6,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0296203,0.1475,0,0.530288,0.00261501,0.688472,0.193746,2885.8,7.2145,1.72088,1.26972,0.0303877,0.0129447,0.0502118,0.218551,0.546377
a1cd1665ebb6,7,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.038298,0.1725,0,0.545507,0.00268673,0.680608,0.253144,2818.02,7.04504,3.19148,2.19367,0.0393554,0.0156904,0.041103,0.225203,0.563007
bf8b086552d5,8,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0466203,0.165,0,0.5275,0.0026631,0.685845,0.0945032,2754.85,6.88713,3.68606,2.31352,0.047731,0.028104,0.0339634,0.227071,0.567678
98434fc81688,9,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0340798,0.165,0,0.531985,0.00278182,0.676342,0.216819,2771.94,6.92986,2.1385,1.87404,0.0342157,0.0148769,0.00758367,0.222359,0.555898
cfc9b86b1cb0,10,0.00253,labdesktop,2026-09-20T09:56:26+00:00,1073b69d29e5,0.00253,0.0321458,0.145,0,0.527414,0.0026559,0.694525,0.113251,2822.25,7.05562,2.78515,2.15059,0.0338648,0.0093638,0.0324855,0.21269,0.531725
