step,true_x,true_y,true_yaw,dr_x,dr_y,dr_yaw,est_x,est_y,est_yaw
0,0.0,0.0,0.0,0.007202178558043899,0.0,0.026381860921028455,0.004041535587249862,0.0,0.029586475635616782
1,0.0,0.0,0.0,-0.01596955404218815,-0.0006114552914958937,0.03578529792573004,-0.03611962548771882,-0.0013760232032424703,0.03785713592346651
2,0.0,0.0,0.0,-0.06449369627150908,-0.002348647783435364,0.04227989468645532,-0.09859677797359787,-0.0034961133457363687,0.04468340840826901
3,0.0,0.0,0.0,-0.013092897649233957,-0.0001741315623282843,0.042018248398119074,-0.04707491755839965,-0.0006389942650683397,0.03833677079770448
4,0.0,0.0,0.0,-0.039832783420561596,-0.0012983564214627888,0.04346165293159299,-0.058182960720323675,-0.001474542040704925,0.046953490749857885
5,0.0,0.0,0.0,-0.09135820452880297,-0.0035391474566637627,0.019503597192794153,-0.08900465252161614,-0.00294714404243865,0.027503175056864837
6,0.0,0.0,0.0,-0.04302899740847841,-0.0025964345323586614,0.029371055035399607,-0.034773540107539296,-0.0009028923079311133,0.041354899577461524
7,0.0,0.0,0.0,-0.15088588702733285,-0.005765216418313037,0.053384111656607836,-0.15364564235177458,-0.004050387257052314,0.05865600059948406
8,0.0,0.0,0.0,-0.14898270215077616,-0.005663519958995326,0.04428008401507766,-0.18430934457723178,-0.005543806170692436,0.02270146688238972
9,0.0,0.0,0.0,-0.2060218083656635,-0.008190868402759675,0.022399334654788827,-0.2647274016540299,-0.005654810859421857,0.0073041056394203
10,0.0,0.0,0.0,-0.24846480230822365,-0.009141722257178943,0.051839475570583105,-0.32219905728077625,-0.005436272858751385,0.028372837903265946
11,0.0,0.0,0.0,-0.30132229478068556,-0.011884284111213343,0.04395564777528982,-0.38663429621667234,-0.0052257865907640085,0.011182435608554364
12,0.0,0.0,0.0,-0.2891035900976637,-0.011346856866429684,0.031343419168697206,-0.29300095634988127,-0.004644055634857345,-0.0003811152461046241
