run_id,seed,variant,host,date,code,forward_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
b92b1f843937,0,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0371237,0.233333,0,0.470214,0.00117061,0.641133,0.267588,206.385,6.87948,0.805869,0.723639,0.0385197,0.0391301,0.016008,0.0637068,2.12356
0a81db08e2e4,1,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0454386,0.3,0,0.510333,0.00118406,0.602974,0.244399,214.755,7.15851,1.02238,0.760325,0.0489425,0.0413664,0.0271983,0.0673412,2.24471
50933700720b,2,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.065747,0.266667,0,0.457125,0.00112074,0.635491,0.077278,192.645,6.42152,7.36837,6.2321,0.08492,0.0402997,0.0603652,0.0634414,2.11471
6f8552eb5922,3,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0371538,0.266667,0,0.505125,0.00120303,0.613699,0.228726,203.625,6.7875,5.39166,5.05438,0.0629807,0.0248598,0.0202031,0.0683203,2.27734
4c1bc8cdf182,4,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0430472,0.233333,0,0.463643,0.00116033,0.611697,0.244356,200.312,6.67707,5.46517,5.62702,0.0548304,0.0390722,0.0391136,0.0309882,1.03294
beec5d4d3c67,5,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0466834,0.266667,0,0.468313,0.0010201,0.668492,0.0568513,210.472,7.01573,1.57631,1.33283,0.0550949,0.0603316,0.0129251,0.0316326,1.05442
aaa711fc863d,6,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.043663,0.366667,0,0.505636,0.00107581,0.590482,0.1956,208.121,6.93737,4.18774,3.72116,0.0604142,0.0432266,0.0221912,0.0351964,1.17321
87841b771aab,7,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0464624,0.266667,0,0.524312,0.00119649,0.605076,0.256231,213.449,7.11498,3.35799,3.07261,0.0768706,0.0490254,0.0866176,0.0315243,1.05081
817ad560bab0,8,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0890747,0.333333,0,0.46545,0.000933942,0.640236,0.16251,190.388,6.34627,8.86879,9.12803,0.11023,0.0920982,0.0601218,0.0641241,2.13747
d1b62af522b7,9,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0444099,0.366667,0,0.512773,0.00122538,0.58726,0.222583,196.792,6.55975,1.08576,0.815586,0.0505933,0.0424323,0.0449775,0.0361199,1.204
6212045829be,10,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0270805,0.266667,0,0.511563,0.00128459,0.583925,0.245,216.016,7.20053,2.30844,2.2337,0.0408561,0.0255472,0.0233932,0.0632002,2.10667
378c054d76c7,11,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0318292,0.233333,0,0.491857,0.00128069,0.63854,0.255645,216.025,7.20084,4.11958,3.43467,0.0373405,0.0301555,0.0183507,0.0620267,2.06756
9b4d46b782a8,12,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0377606,0.3,0,0.492556,0.00125951,0.599347,0.231627,192.611,6.42035,6.34524,5.84932,0.0625317,0.0407248,0.0518109,0.0615699,2.05233
f79ba5ab1c87,13,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0488629,0.3,0,0.494389,0.00123491,0.596884,0.262437,217.384,7.24612,3.47275,2.73581,0.0710588,0.0430547,0.0579684,0.0321675,1.07225
6e63928009b8,14,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0432941,0.3,0,0.495111,0.00128117,0.613051,0.257281,183.648,6.12162,4.00534,3.30916,0.0763733,0.0363583,0.0224377,0.032515,1.08383
6d04ef02492a,15,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0419313,0.266667,0,0.509,0.00102788,0.642379,0.274044,218.901,7.2967,6.43474,7.603,0.0747735,0.0291691,0.00356523,0.0310205,1.03402
107e9af095e0,16,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0387514,0.233333,0,0.440643,0.00106214,0.614628,0.0961513,228.105,7.6035,3.14909,2.36113,0.0519695,0.0318718,0.0150227,0.0297409,0.991362
0907ad712b14,17,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0559323,0.3,0,0.451222,0.000958635,0.618699,0.154446,195.47,6.51567,2.36275,1.4003,0.0676158,0.0413971,0.0524875,0.0323126,1.07709
a9060e7f36aa,18,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0370381,0.266667,0,0.491187,0.00120979,0.618607,0.265733,198.058,6.60193,7.12568,4.81963,0.0818385,0.0424344,0.0863032,0.0312166,1.04055
4e6d347ae20f,19,0.00356,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00356,0.0470976,0.3,0,0.475444,0.00119135,0.601026,0.155417,215.341,7.17804,4.19818,3.65562,0.0674376,0.0484575,0.0532257,0.0323564,1.07855
7f3a5c52cc57,0,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0376833,0.233333,0,0.4745,0.00127739,0.608346,0.2677,206.04,6.86799,0.869075,0.897812,0.04032,0.0393162,0.0199133,0.0637806,2.12602
e50ad1967633,1,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0443971,0.3,0,0.509444,0.00110744,0.619146,0.244471,214.528,7.15093,1.05946,0.834411,0.0480267,0.0393479,0.0173778,0.065642,2.18807
b4e61e9fe261,2,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0574075,0.3,0,0.472,0.00101175,0.612146,0.077568,190.385,6.34615,10.1073,5.53762,0.0934356,0.0401817,0.0876006,0.0662881,2.2096
f886c002ced4,3,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.037921,0.266667,0,0.504625,0.00126536,0.604894,0.234081,203.88,6.79599,4.03882,3.07459,0.061624,0.0244523,0.0195914,0.0640936,2.13645
63db686b8e05,4,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0442698,0.266667,0,0.483125,0.00111629,0.626331,0.244402,200.063,6.66875,5.20323,5.25919,0.0545459,0.038132,0.0364076,0.0305107,1.01702
f41f2e8a8d91,5,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0474704,0.233333,0,0.460571,0.0013292,0.635221,0.0665411,211.458,7.04859,1.52805,1.02446,0.0519787,0.0547399,0.0122374,0.0298145,0.993816
19d0c1fe42af,6,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0471212,0.333333,0,0.48445,0.00115641,0.593256,0.178732,209.669,6.98896,2.76655,2.87098,0.0575676,0.042592,0.0260891,0.0335418,1.11806
2fec0df176d9,7,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0469798,0.3,0,0.525278,0.00116087,0.621985,0.25605,213.255,7.10849,3.11949,2.9061,0.0754008,0.0485876,0.072949,0.0322097,1.07366
a93abb4cba2f,8,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.098494,0.333333,0,0.46015,0.00114866,0.597705,0.162209,189.317,6.31056,6.06034,5.52141,0.10448,0.0912168,0.020682,0.068406,2.2802
c5c700c6a076,9,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0454545,0.366667,0,0.514409,0.00104337,0.601027,0.276673,196.434,6.54779,1.15855,0.792196,0.0519137,0.0428992,0.0524705,0.0693909,2.31303
f3f28b7d5b86,10,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0275837,0.3,0,0.536611,0.00104178,0.644608,0.267656,215.757,7.1919,2.19276,2.05916,0.0398442,0.0260305,0.0291263,0.067108,2.23693
067260b3444a,11,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0340788,0.233333,0,0.512857,0.0012676,0.628638,0.255723,215.76,7.19199,3.41502,2.58861,0.0395442,0.0318305,0.0310094,0.0645232,2.15077
7e51b625863c,12,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0385818,0.3,0,0.499,0.00115678,0.622175,0.232883,192.462,6.41539,5.40161,5.01706,0.0615756,0.0403538,0.0498114,0.0322762,1.07587
90b0c85be1ed,13,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0487791,0.3,0,0.514,0.00108788,0.628395,0.262378,217.307,7.24356,3.62908,3.19796,0.0704965,0.0439162,0.0443852,0.0326093,1.08698
6a9d408c0da4,14,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0421615,0.366667,0,0.493091,0.0012028,0.595398,0.253782,183.833,6.12777,3.80971,3.32151,0.0754638,0.0351078,0.027225,0.0349625,1.16542
59f3aa195bc7,15,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0432563,0.233333,0,0.4965,0.00115187,0.641351,0.273833,219.112,7.30373,5.40903,6.15061,0.0730905,0.0299599,0.00789091,0.0297655,0.992184
de7270915f13,16,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0389569,0.266667,0,0.461313,0.00116685,0.582748,0.10301,227.384,7.57948,2.45951,1.53933,0.0513893,0.0319497,0.0211912,0.0310148,1.03383
f24ddeebeb91,17,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0550679,0.3,0,0.454167,0.000936613,0.623375,0.12356,195.547,6.51822,2.43082,1.46832,0.0648438,0.0417088,0.0415731,0.0657556,2.19185
4b3107438b21,18,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0355962,0.266667,0,0.492125,0.00118184,0.630365,0.265723,198.732,6.62441,6.46651,4.48259,0.0802183,0.0409084,0.0880515,0.0309933,1.03311
bc497a90fb18,19,0.00632,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.00632,0.0476119,0.333333,0,0.47645,0.00120884,0.582918,0.158507,215.834,7.19446,3.01461,2.82341,0.0646913,0.0485967,0.0409003,0.0664091,2.21364
ca780ea7d2b5,0,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0385739,0.366667,0,0.526955,0.00116046,0.597224,0.267789,205.71,6.85701,0.832046,0.857341,0.0408225,0.0388272,0.0109357,0.0692609,2.3087
1a0d7d9f0cee,1,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0464083,0.366667,0,0.524273,0.00107459,0.61045,0.244409,214.065,7.13549,1.15542,0.977423,0.0496816,0.0382052,0.0147724,0.0670991,2.23664
4298bfeae60e,2,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0630203,0.333333,0,0.4828,0.00105393,0.612257,0.0815099,190.394,6.34648,3.69354,3.17741,0.0730712,0.0427787,0.0214919,0.0342098,1.14033
60bd49fdc705,3,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0394053,0.3,0,0.502556,0.00116409,0.602747,0.228557,204.424,6.81414,3.26265,2.54774,0.060174,0.0242591,0.0216975,0.0332335,1.10778
37d3797e63dd,4,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0461688,0.266667,0,0.479438,0.0012365,0.597641,0.244422,199.586,6.65286,4.5461,4.28994,0.0547207,0.0382242,0.0408058,0.0308154,1.02718
94edc07bb3d6,5,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0491558,0.3,0,0.483167,0.0011942,0.597359,0.0656993,210.775,7.02582,1.49842,0.916413,0.0533911,0.0525499,0.0219436,0.03198,1.066
2f144691e222,6,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0495737,0.333333,0,0.48225,0.00127002,0.577816,0.160694,210.043,7.00143,2.3217,2.19868,0.05753,0.0415585,0.0378262,0.0333726,1.11242
85ea21f967b3,7,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0471864,0.3,0,0.526,0.00125425,0.612127,0.255674,213.398,7.11328,3.5392,3.31373,0.0757414,0.0488694,0.0832458,0.0325887,1.08629
b777eafd3747,8,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0899651,0.366667,0,0.497273,0.00103868,0.607551,0.161576,190.766,6.35887,7.9779,8.53892,0.109822,0.0900907,0.0558851,0.0682595,2.27532
e1fe62eae554,9,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0459858,0.4,0,0.513042,0.000942992,0.595772,0.276534,196.988,6.56628,1.5695,1.18391,0.0539413,0.042844,0.0684739,0.0710093,2.36698
0d02bd5821b2,10,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0282748,0.266667,0,0.5225,0.00129398,0.61424,0.266924,215.478,7.18262,1.96279,1.68555,0.0407779,0.0251674,0.0340532,0.06381,2.127
2d63aa6419c2,11,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0349129,0.266667,0,0.5115,0.00128557,0.608202,0.255927,215.356,7.17854,2.95043,2.67106,0.0392232,0.0325592,0.0470335,0.0650774,2.16925
bea76aa713a3,12,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0379156,0.3,0,0.488111,0.00120886,0.598152,0.232614,192.144,6.40479,6.06768,5.28127,0.0641788,0.0401084,0.0653642,0.032486,1.08287
d8217c92f5e4,13,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0521811,0.366667,0,0.525591,0.00109032,0.587284,0.262092,217.421,7.24736,3.3204,2.84753,0.0706258,0.044027,0.0653752,0.0361951,1.2065
c987a357b30e,14,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0453825,0.4,0,0.514667,0.00110582,0.595775,0.257543,184.097,6.13658,3.39901,3.07677,0.0743749,0.0365029,0.0310306,0.0372872,1.24291
d9912b90966b,15,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0469504,0.333333,0,0.51625,0.00108251,0.62437,0.250254,219.081,7.30269,4.45583,4.89445,0.0732701,0.0311668,0.0134328,0.0338882,1.12961
