variant,seeds,position_rmse_mean,position_rmse_std,ate_mean,ate_std,map_error_aligned_mean,map_error_aligned_std,unique_after_resampling_mean,unique_after_resampling_std,ess_mean_mean,ess_mean_std,runtime_per_step_ms_mean,runtime_per_step_ms_std
"resampler: Multinomial, n_particles: 10",20,0.959773,0.5546,0.323938,0.0635023,0.138596,0.0404326,0.62377,0.00431803,0.893237,0.00509274,1.50444,0.0122498
"resampler: Multinomial, n_particles: 50",20,0.974528,0.4713,0.222933,0.0374221,0.0964605,0.0236415,0.609876,0.00199823,0.892912,0.00246821,2.71004,0.0101627
"resampler: Residual, n_particles: 10",20,1.01735,0.837208,0.277259,0.0476522,0.129787,0.0367916,0.78511,0.00240655,0.892203,0.00409319,1.57104,0.0180113
"resampler: Residual, n_particles: 50",20,0.759273,0.410193,0.208867,0.0550498,0.0831674,0.016167,0.77762,0.00253047,0.89213,0.00284891,2.89214,0.0196976
"resampler: Stratified, n_particles: 10",20,1.06141,0.713829,0.246761,0.0575307,0.114293,0.0372349,0.8012,0.00422424,0.893278,0.0042987,1.51132,0.00726522
"resampler: Stratified, n_particles: 50",20,0.579736,0.310827,0.204529,0.0393909,0.0689873,0.0201203,0.786892,0.00156343,0.892014,0.00213911,2.80227,0.00878193
"resampler: Systematic, n_particles: 10",20,0.972932,0.610797,0.233306,0.0443804,0.105178,0.0317708,0.85993,0.00378544,0.894874,0.00370673,1.46132,0.0231029
"resampler: Systematic, n_particles: 50",20,0.87877,0.53834,0.241927,0.100878,0.0754493,0.0164014,0.858326,0.00185342,0.8923,0.00239559,2.35375,0.16698
