variant,seeds,log_likelihood_mean,log_likelihood_std,position_rmse_mean,position_rmse_std
0.02,20,-45.7888,123.866,0.126097,0.0751549
0.0267,20,130.471,29.7128,0.083577,0.0314714
0.0356,20,190.258,15.4408,0.0681682,0.0187419
0.0474,20,205.705,12.3198,0.0625526,0.0170879
0.0632,20,199.573,11.0259,0.0624422,0.0172459
0.0843,20,181.215,10.4664,0.0653497,0.0173424
0.1125,20,155.833,10.1041,0.0697783,0.0192474
0.15,20,126.717,9.87615,0.0736407,0.0203587
0.2,20,95.143,9.77968,0.0779101,0.0222336
