run_id,seed,variant,host,date,code,resampler,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,map_error,map_error_aligned,landmarks_mapped,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
9f16928cb535,18,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.379757,1,0,0.622,0.1,0.885672,0.45019,1.37736,0.128606,8,860201,2837.45,1.24936,0.101051,1.86502,0.742777,1.48555
9b6a5aaaf26f,19,"resampler: Multinomial, n_particles: 10",aiserver,2026-09-14T08:33:39+00:00,d7328d3e3c3f,multinomial,10,0.32868,1,0,0.6234,0.1,0.88886,0.57182,1.58458,0.150068,8,252474,14405.4,1.55407,0.0420592,1.80914,0.744797,1.48959
c71f909a4e49,0,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.206466,1,0,0.61304,0.02,0.894861,0.662442,0.847518,0.102985,8,164.514,131.507,0.799764,0.0342106,0.890515,1.35758,2.71516
5a4c81dfb260,1,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.182685,1,0,0.61028,0.02,0.893204,0.654573,1.03887,0.0846365,8,156.679,101.804,1.02623,0.0583384,1.04691,1.34864,2.69728
4bfc7caf3912,2,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.192067,1,0,0.60748,0.02,0.889059,0.560952,0.997542,0.111178,8,210.39,80.6633,1.02272,0.0643162,1.06392,1.35028,2.70056
be48042e452e,3,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.257177,1,0,0.60796,0.02,0.89433,0.652754,0.330351,0.0738089,8,21.0088,10.6634,0.35858,0.0293405,0.738257,1.35819,2.71638
cc4d1e90757f,4,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.236146,1,0,0.60924,0.02,0.889617,0.700959,2.00445,0.0608782,8,1668.18,580.626,1.89234,0.0753579,1.73514,1.35823,2.71645
2d65a1dc778c,5,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.26095,1,0,0.61,0.02,0.892353,0.626548,1.22524,0.11521,8,82.428,66.8609,1.13041,0.0894472,0.977192,1.35566,2.71131
7b0759d7f7c0,6,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.203159,1,0,0.61288,0.02,0.897759,0.63138,0.746763,0.0697613,8,184.614,74.1835,0.726138,0.038302,0.582814,1.36216,2.72431
5c66d9dd0e59,7,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.198364,1,0,0.61136,0.02,0.890628,0.633048,1.00159,0.116682,8,49.3908,18.6095,0.743005,0.069747,1.15897,1.35956,2.71912
c71f08166c6a,8,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.298213,1,0,0.60936,0.02,0.89524,0.702931,1.1262,0.141479,8,104.598,44.9652,0.874229,0.0883793,0.49118,1.35064,2.70127
