variant,seeds,position_rmse_mean,position_rmse_std,ate_mean,ate_std,ess_mean_mean,ess_mean_std,nees_median_mean,nees_median_std,runtime_per_step_ms_mean,runtime_per_step_ms_std,runtime_total_s_mean,runtime_total_s_std
10,20,1.49683,1.1426,0.77884,0.602686,0.409266,0.119032,5.07797e+08,2.11706e+09,0.182029,0.0172101,0.00546086,0.000516304
25,20,1.10076,0.90612,0.695245,0.430572,0.404813,0.135739,1.8298e+06,8.16819e+06,0.222102,0.0188743,0.00666306,0.000566228
50,20,0.681528,0.489604,0.483898,0.294696,0.439544,0.110111,304.304,670.554,0.254179,0.0262318,0.00762537,0.000786955
100,20,0.457959,0.339279,0.331608,0.214291,0.473761,0.0886112,45.8909,142.381,0.320976,0.0321979,0.00962928,0.000965938
250,20,0.207617,0.161257,0.168083,0.111263,0.535307,0.0450029,1.91786,6.15516,0.498687,0.0307461,0.0149606,0.000922383
500,20,0.158218,0.0828157,0.131818,0.0567626,0.537532,0.0256744,0.561633,0.392321,0.806959,0.035262,0.0242088,0.00105786
1000,20,0.131094,0.0269752,0.106739,0.0211602,0.546108,0.0170579,0.460757,0.157471,2.74733,0.72216,0.0824199,0.0216648
2500,20,0.114805,0.0182807,0.0980655,0.0151923,0.549246,0.010066,0.362447,0.127977,3.68613,0.766552,0.110584,0.0229966
