variant,seeds,log_likelihood_mean,log_likelihood_std,position_rmse_mean,position_rmse_std
0.002,20,205.814,11.979,0.0636448,0.0184135
0.00356,20,205.925,11.7587,0.0637596,0.0178114
0.00632,20,205.838,11.9263,0.0630225,0.0173597
0.01125,20,205.86,11.7936,0.0625653,0.0164348
0.02,20,205.565,11.6333,0.0644567,0.015564
0.0356,20,204.574,11.6953,0.0679421,0.0139836
0.0632,20,202.184,12.2367,0.0770506,0.0177303
