variant,seeds,position_rmse_mean,position_rmse_std,resample_rate_mean,resample_rate_std,unique_after_resampling_mean,unique_after_resampling_std,ess_mean_mean,ess_mean_std,nees_median_mean,nees_median_std
Every step,20,0.485258,0.373338,1,0,0.641683,0.0934127,0.591484,0.135942,46.108,140.869
Never,20,1.3862,0.438615,0,0,1,0,0.0105756,0.000493027,1.60207e+09,1.0963e+09
ESS threshold (0.2),20,0.4737,0.340113,0.341667,0.131066,0.254121,0.0170177,0.350692,0.0643328,50.5383,154.29
ESS threshold (0.5),20,0.457959,0.339279,0.535,0.130888,0.437645,0.0459896,0.473761,0.0886112,45.8909,142.381
ESS threshold (0.8),20,0.465621,0.364706,0.8,0.0749269,0.582222,0.0889815,0.56525,0.125487,45.5868,141.027
Max weight (0.1),20,0.477018,0.343919,0.353333,0.148836,0.261154,0.0181772,0.351854,0.0589384,48.1643,139.063
Max weight (0.2),20,0.451919,0.317968,0.483333,0.12819,0.402233,0.0398321,0.443563,0.0768163,43.3143,140.2
Max weight (0.5),20,0.482733,0.374959,0.746667,0.0874593,0.555893,0.0798848,0.54662,0.122748,46.0093,140.902
